state,district,district_unique,indicator,nfhs4,nfhs5
Andaman & Nicobar Islands,Nicobar,nicobar_andaman_nicobar_islands,stunting,20.3,21.6
Andaman & Nicobar Islands,Nicobar,nicobar_andaman_nicobar_islands,wasting,2.3,7.8
Andaman & Nicobar Islands,Nicobar,nicobar_andaman_nicobar_islands,underweight,10.5,24.6
Andaman & Nicobar Islands,Nicobar,nicobar_andaman_nicobar_islands,overweight,4.8,1.5
Andaman & Nicobar Islands,North & Middle Andaman,north_middle_andaman_andaman_nicobar_islands,stunting,32.5,27
Andaman & Nicobar Islands,North & Middle Andaman,north_middle_andaman_andaman_nicobar_islands,wasting,18.5,8.3
Andaman & Nicobar Islands,North & Middle Andaman,north_middle_andaman_andaman_nicobar_islands,underweight,33.5,42.8
Andaman & Nicobar Islands,North & Middle Andaman,north_middle_andaman_andaman_nicobar_islands,overweight,2.1,0.8
Andaman & Nicobar Islands,South Andaman,south_andaman_andaman_nicobar_islands,stunting,20.1,21.1
Andaman & Nicobar Islands,South Andaman,south_andaman_andaman_nicobar_islands,wasting,4,3.5
Andaman & Nicobar Islands,South Andaman,south_andaman_andaman_nicobar_islands,underweight,18.5,17.4
Andaman & Nicobar Islands,South Andaman,south_andaman_andaman_nicobar_islands,overweight,3,7.2
Andhra Pradesh,Anantapur,anantapur_andhra_pradesh,stunting,40.3,36
Andhra Pradesh,Anantapur,anantapur_andhra_pradesh,wasting,4.5,4
Andhra Pradesh,Anantapur,anantapur_andhra_pradesh,underweight,39.3,40.6
Andhra Pradesh,Anantapur,anantapur_andhra_pradesh,overweight,0.6,0.3
Andhra Pradesh,Chittoor,chittoor_andhra_pradesh,stunting,31.4,27.1
Andhra Pradesh,Chittoor,chittoor_andhra_pradesh,wasting,4.6,6.3
Andhra Pradesh,Chittoor,chittoor_andhra_pradesh,underweight,32.4,27.9
Andhra Pradesh,Chittoor,chittoor_andhra_pradesh,overweight,0,0.5
Andhra Pradesh,East Godavari,east_godavari_andhra_pradesh,stunting,27.7,23.1
Andhra Pradesh,East Godavari,east_godavari_andhra_pradesh,wasting,3,3.8
Andhra Pradesh,East Godavari,east_godavari_andhra_pradesh,underweight,27.1,22.4
Andhra Pradesh,East Godavari,east_godavari_andhra_pradesh,overweight,2.7,3.4
Andhra Pradesh,Guntur,guntur_andhra_pradesh,stunting,22.1,23.8
Andhra Pradesh,Guntur,guntur_andhra_pradesh,wasting,9.8,8.1
Andhra Pradesh,Guntur,guntur_andhra_pradesh,underweight,29.1,26.9
Andhra Pradesh,Guntur,guntur_andhra_pradesh,overweight,3.9,3.6
Andhra Pradesh,Krishna,krishna_andhra_pradesh,stunting,22.6,29.8
Andhra Pradesh,Krishna,krishna_andhra_pradesh,wasting,5.1,5.2
Andhra Pradesh,Krishna,krishna_andhra_pradesh,underweight,27.7,21.1
Andhra Pradesh,Krishna,krishna_andhra_pradesh,overweight,1.8,4.2
Andhra Pradesh,Kurnool,kurnool_andhra_pradesh,stunting,44.1,50.5
Andhra Pradesh,Kurnool,kurnool_andhra_pradesh,wasting,4.7,6
Andhra Pradesh,Kurnool,kurnool_andhra_pradesh,underweight,37.5,46.3
Andhra Pradesh,Kurnool,kurnool_andhra_pradesh,overweight,0.6,1.1
Andhra Pradesh,Prakasam,prakasam_andhra_pradesh,stunting,28.2,22.6
Andhra Pradesh,Prakasam,prakasam_andhra_pradesh,wasting,3.6,3.3
Andhra Pradesh,Prakasam,prakasam_andhra_pradesh,underweight,30.3,24.7
Andhra Pradesh,Prakasam,prakasam_andhra_pradesh,overweight,0.8,5.1
Andhra Pradesh,Srikakulam,srikakulam_andhra_pradesh,stunting,28,19.7
Andhra Pradesh,Srikakulam,srikakulam_andhra_pradesh,wasting,3.9,7.4
Andhra Pradesh,Srikakulam,srikakulam_andhra_pradesh,underweight,28.7,21.4
Andhra Pradesh,Srikakulam,srikakulam_andhra_pradesh,overweight,1,4.5
Andhra Pradesh,Sri Potti Sriramulu Nellore,sri_potti_sriramulu_nellore_andhra_pradesh,stunting,29.4,29.2
Andhra Pradesh,Sri Potti Sriramulu Nellore,sri_potti_sriramulu_nellore_andhra_pradesh,wasting,4.3,6.9
Andhra Pradesh,Sri Potti Sriramulu Nellore,sri_potti_sriramulu_nellore_andhra_pradesh,underweight,28.7,27.8
Andhra Pradesh,Sri Potti Sriramulu Nellore,sri_potti_sriramulu_nellore_andhra_pradesh,overweight,1.5,0.5
Andhra Pradesh,Visakhapatnam,visakhapatnam_andhra_pradesh,stunting,30.1,31
Andhra Pradesh,Visakhapatnam,visakhapatnam_andhra_pradesh,wasting,1.5,11.2
Andhra Pradesh,Visakhapatnam,visakhapatnam_andhra_pradesh,underweight,33.1,33.5
Andhra Pradesh,Visakhapatnam,visakhapatnam_andhra_pradesh,overweight,0,4.8
Andhra Pradesh,Vizianagaram,vizianagaram_andhra_pradesh,stunting,36.8,36.4
Andhra Pradesh,Vizianagaram,vizianagaram_andhra_pradesh,wasting,4.7,8.3
Andhra Pradesh,Vizianagaram,vizianagaram_andhra_pradesh,underweight,34.4,32.2
Andhra Pradesh,Vizianagaram,vizianagaram_andhra_pradesh,overweight,0.5,4.7
Andhra Pradesh,West Godavari,west_godavari_andhra_pradesh,stunting,28.5,31.4
Andhra Pradesh,West Godavari,west_godavari_andhra_pradesh,wasting,3.2,4.7
Andhra Pradesh,West Godavari,west_godavari_andhra_pradesh,underweight,30.1,22.5
Andhra Pradesh,West Godavari,west_godavari_andhra_pradesh,overweight,0.6,5.2
Andhra Pradesh,Y.S.R.,y_s_r_andhra_pradesh,stunting,36.3,34.4
Andhra Pradesh,Y.S.R.,y_s_r_andhra_pradesh,wasting,5.8,4.2
Andhra Pradesh,Y.S.R.,y_s_r_andhra_pradesh,underweight,34.4,26.7
Andhra Pradesh,Y.S.R.,y_s_r_andhra_pradesh,overweight,1.4,0.2
Arunachal Pradesh,Anjaw,anjaw_arunachal_pradesh,stunting,21,23.6
